X,Y,oa11cd,lad11cd
-3.71548317143709,51.812600376514,W00002268,W06000023
-3.72978468858937,51.7940090007936,W00002269,W06000023
-3.74717547704645,51.7868411834387,W00002270,W06000023
-3.7384388175169,51.7857816046667,W00002271,W06000023
-3.70982884681703,51.8030315341292,W00002272,W06000023
-3.515567956333,52.6866378481382,W00002273,W06000023
-3.52370698548518,52.7216381363661,W00002274,W06000023
-3.48932255019473,52.6541438637539,W00002275,W06000023
-3.10820388699335,52.360890135369,W00002276,W06000023
-3.22395449487584,52.4070880239465,W00002277,W06000023
-3.35513016193465,52.4025461942702,W00002278,W06000023
-3.27198763493492,52.3581313906234,W00002279,W06000023
-3.19809757842126,52.6109664656996,W00002280,W06000023
-3.21978553020397,52.5740407723569,W00002281,W06000023
-3.25494031258952,52.6047551176805,W00002282,W06000023
-3.20425853967034,52.5949119543188,W00002283,W06000023
-3.67327094088001,52.426097203888,W00002284,W06000023
-3.57201999778766,52.40958316589,W00002285,W06000023
-3.62994821133426,52.4743881717749,W00002286,W06000023
-3.52850080102495,52.4603128930365,W00002287,W06000023
-3.56207589959435,52.5207604134949,W00002288,W06000023
-3.50957872400744,52.503803493397,W00002289,W06000023
-3.64516578303546,52.5050263227329,W00002290,W06000023
-3.25308814028827,52.0102077001459,W00002291,W06000023
-3.26515817902004,52.0357585409751,W00002292,W06000023
-3.25703308704548,52.002508075724,W00002293,W06000023
-3.37355128601275,52.0740825682444,W00002294,W06000023
-3.41177971236371,52.1451943589878,W00002295,W06000023
-3.41403010265913,52.1510062959847,W00002296,W06000023
-3.39203957067747,52.1521180705717,W00002297,W06000023
-3.40788432086207,52.1510718314068,W00002298,W06000023
-3.40105745866518,52.1488446838809,W00002299,W06000023
-3.39700201864788,52.1474599203827,W00002300,W06000023
-3.4012335620508,52.1447268520588,W00002301,W06000023
-3.40613025517771,52.1398033156884,W00002302,W06000023
-3.19503413410847,51.8847332151621,W00002303,W06000023
-3.24210199453532,51.8976074351812,W00002305,W06000023
-3.42649513698579,52.5150674313053,W00002306,W06000023
-3.43306744946144,52.5162066836102,W00002307,W06000023
-3.42864506610287,52.5278501417872,W00002308,W06000023
-3.47755207551527,52.5482917348624,W00002309,W06000023
-3.42407366256692,52.5208433270637,W00002310,W06000023
-3.51483756244521,52.5834743214094,W00002311,W06000023
-3.55596553701254,52.5598436262353,W00002312,W06000023
-3.06785127952778,52.5380466603131,W00002313,W06000023
-3.03204614174589,52.5399519844624,W00002314,W06000023
-3.06779244126371,52.5236191439895,W00002315,W06000023
-3.10905174929955,52.5167516460237,W00002316,W06000023
-3.02819695333952,52.5584489436727,W00002317,W06000023
-3.13616361732733,51.8586238705333,W00002320,W06000023
-3.14661498109526,51.8774010032152,W00002321,W06000023
-3.13148836643941,51.8624707485834,W00002323,W06000023
-3.13358562845836,51.8562131671212,W00002324,W06000023
-3.09939717782521,51.8510285368476,W00002325,W06000023
-3.77465912796921,51.7748977982892,W00002327,W06000023
-3.76792296963346,51.7779066886945,W00002328,W06000023
-3.77770449728383,51.7733302148803,W00002329,W06000023
-3.78109042670958,51.8062789823065,W00002330,W06000023
-3.80199629712809,51.7877606024265,W00002331,W06000023
-3.79023185956389,51.7822134614514,W00002332,W06000023
-3.7995780005266,51.7831323252758,W00002333,W06000023
-3.37653948505094,52.2039241062708,W00002335,W06000023
-3.42899555059916,52.1869598030728,W00002336,W06000023
-3.40253458002786,52.2179229305589,W00002337,W06000023
-3.391000702025,52.211555501397,W00002338,W06000023
-3.29541415401904,52.5604235328433,W00002339,W06000023
-3.25192280164504,52.547767145096,W00002340,W06000023
-3.21692536352364,52.5406057694765,W00002341,W06000023
-3.1812937047326,52.5462272014598,W00002342,W06000023
-3.24870867868626,52.5360590237809,W00002343,W06000023
-3.31001836481053,52.0218401494522,W00002344,W06000023
-3.32315584813695,51.9955254662444,W00002345,W06000023
-3.39982760386238,52.0014696985243,W00002346,W06000023
-3.36400180582469,51.9684327149799,W00002347,W06000023
-3.15188773070027,52.5980453296794,W00002348,W06000023
-3.11438625554842,52.6129356606123,W00002349,W06000023
-3.10683214995516,52.6384267381014,W00002350,W06000023
-3.12261114197997,52.6167170061267,W00002351,W06000023
-3.75436617392465,52.5498812789466,W00002352,W06000023
-3.82872568073182,52.5419068514281,W00002353,W06000023
-3.81568850945812,52.5894619301916,W00002354,W06000023
-3.80693219882071,52.6394819406351,W00002355,W06000023
-3.7010025135967,52.6484956542535,W00002356,W06000023
-3.75269508237248,52.6405415661747,W00002357,W06000023
-3.72805287189272,52.5991855727035,W00002358,W06000023
-3.17488602712273,52.0951377435057,W00002359,W06000023
-3.13877543687633,52.1067362680949,W00002360,W06000023
-3.20277438934041,52.0598787812948,W00002361,W06000023
-3.24708317634775,52.066747412496,W00002362,W06000023
-3.27353508803871,52.0519115614334,W00002363,W06000023
-3.24954683925936,52.1147691211932,W00002364,W06000023
-3.24722005218416,52.6539381165558,W00002365,W06000023
-3.21768706234271,52.6412377554811,W00002366,W06000023
-3.15599878312802,52.6929317479277,W00002367,W06000023
-3.14465227243373,52.7002494783494,W00002368,W06000023
-3.14294284857352,52.7110065683991,W00002369,W06000023
-3.15100691498781,52.6975660520247,W00002370,W06000023
-3.15311597516118,52.6927906212759,W00002371,W06000023
-3.20314423827625,52.6857196098142,W00002372,W06000023
-3.18971860928377,52.0403694395987,W00002373,W06000023
-3.17549624122318,52.0161041042449,W00002374,W06000023
